StudentID,RoleName,ReadinessScore,Coverage,NumSkills,NumSkillsPresent,NumWeakOrMissing,WeakOrMissingSkills
IT21001288,Data Analyst,0.1054166666666666,1.0,1,1,1,Hypothesis Testing
IT21002809,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21004505,Data Analyst,0.1054166666666666,1.0,1,1,1,Hypothesis Testing
IT21004753,Data Analyst,0.275,1.0,1,1,1,Hypothesis Testing
IT21005263,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21006129,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21007298,Data Analyst,0.12375,1.0,1,1,1,Hypothesis Testing
IT21008496,Data Analyst,0.0916666666666666,1.0,1,1,1,Hypothesis Testing
IT21009261,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21010022,Data Analyst,0.0916666666666666,1.0,1,1,1,Hypothesis Testing
IT21011007,Data Analyst,0.0916666666666666,1.0,1,1,1,Hypothesis Testing
IT21011057,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21012347,Data Analyst,0.1054166666666666,1.0,1,1,1,Hypothesis Testing
IT21013965,Data Analyst,0.12375,1.0,1,1,1,Hypothesis Testing
IT21014532,Data Analyst,0.15125,1.0,1,1,1,Hypothesis Testing
IT21014776,Data Analyst,0.12375,1.0,1,1,1,Hypothesis Testing
IT21015220,Data Analyst,0.12375,1.0,1,1,1,Hypothesis Testing
IT21015693,Data Analyst,0.0916666666666666,1.0,1,1,1,Hypothesis Testing
IT21017970,Data Analyst,0.1833333333333333,1.0,1,1,1,Hypothesis Testing
IT21018131,Data Analyst,0.15125,1.0,1,1,1,Hypothesis Testing
IT21018148,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21022952,Data Analyst,0.1695833333333333,1.0,1,1,1,Hypothesis Testing
IT21023088,Data Analyst,0.1375,1.0,1,1,1,Hypothesis Testing
IT21024320,Data Analyst,0.1695833333333333,1.0,1,1,1,Hypothesis Testing
