StudentID,Skill,EvidenceCount,ScoreNormalized,SkillLevel
IT22471543,Academic Listening & Note-taking,3,0.75,Advanced
IT22471543,Academic Writing & Grammar,3,0.75,Advanced
IT22471543,Agile Development & SCRUM,3,0.75,Advanced
IT22471543,Agile Software Development & Scrum Practices,3,0.75,Advanced
IT22471543,Algorithm Analysis & Asymptotic Notations,3,0.75,Advanced
IT22471543,Algorithm Design Techniques,3,0.75,Advanced
IT22471543,Android OS & Application Components,3,0.75,Advanced
IT22471543,Application Testing & Security,3,0.75,Advanced
IT22471543,"Arrays, Structures & File Handling",3,0.75,Advanced
IT22471543,Boolean Algebra & Logic,3,0.75,Advanced
IT22471543,C++ Programming Implementation,3,0.75,Advanced
IT22471543,Calculus & Differentiation,3,0.75,Advanced
IT22471543,"Classes, Objects & Properties",3,0.75,Advanced
IT22471543,"Collections, Generics & Threads",3,0.75,Advanced
IT22471543,Combinational & Sequential Logic Circuits,3,0.75,Advanced
IT22471543,Control Structures & Loops,3,0.75,Advanced
IT22471543,Data Handling & Media Integration,3,0.75,Advanced
IT22471543,Data Modeling & ER Diagrams,3,0.75,Advanced
IT22471543,Data Representation & Computer Architecture,3,0.75,Advanced
IT22471543,Database Connectivity (ODBC/JDBC),3,0.75,Advanced
IT22471543,Database Design & Conceptual Modeling,3,0.75,Advanced
IT22471543,Database Security & Performance Optimization,3,0.75,Advanced
IT22471543,Descriptive & Inferential Statistics,3,0.75,Advanced
IT22471543,Design Patterns & Web-based Project,3,0.75,Advanced
IT22471543,"Design Patterns (Creational, Structural, Behavioral)",3,0.75,Advanced
IT22471543,Diversity & Inclusion Awareness,3,0.75,Advanced
IT22471543,Documentation & Presentation Skills,3,0.75,Advanced
IT22471543,"Encapsulation, Abstraction & Interfaces",3,0.75,Advanced
IT22471543,Ethics & Professional Conduct,6,0.75,Advanced
IT22471543,Exception Handling & Debugging,3,0.75,Advanced
IT22471543,File System & I/O Management,3,0.75,Advanced
IT22471543,Functional & Object-Oriented Analysis & Design,3,0.75,Advanced
IT22471543,Functions & Recursion,3,0.75,Advanced
IT22471543,Graph Theory & Matrices,3,0.75,Advanced
IT22471543,HTML/CSS & UI Design,3,0.75,Advanced
IT22471543,Hypothesis Testing & Chi-Squared Tests,3,0.75,Advanced
