StudentID,RoleName,Skill,QuestionID,QuestionText,SelectedOption,CorrectOption,ResponseTimeSeconds,IsCorrect,QuestionScore,EffectiveScore,TargetDifficulty,QuizID,Difficulty
IT21001288,Data Analyst,Hypothesis Testing,1,Which of the following best describes the null hypothesis in hypothesis testing?,A,A,30.0,True,1.0,0.95,Unknown,,
IT21001288,Data Analyst,Hypothesis Testing,2,What is a p-value in the context of hypothesis testing?,B,A,45.0,False,0.0,-0.075,Unknown,,
IT21001288,Data Analyst,Hypothesis Testing,3,When do we reject the null hypothesis?,C,A,40.0,False,0.0,-0.0666666666666666,Unknown,,
IT21013928,,Unknown,100000,,C,B,30.0,False,,,,unknown,
IT21013928,,Unknown,100001,,B,B,30.0,True,,,,unknown,
IT21013928,,Unknown,100002,,A,B,30.0,False,,,,unknown,
IT21013928,,Unknown,100001,,B,A,30.0,False,,,,unknown,
IT21013928,,Unknown,100000,,C,A,30.0,False,,,,unknown,
IT21013928,,Unknown,100002,,D,A,30.0,False,,,,unknown,
IT21013928,,Unknown,100001,,A,C,30.0,False,,,,unknown,
IT21013928,,Unknown,100000,,B,B,30.0,True,,,,unknown,
IT21013928,,Unknown,100002,,A,B,30.0,False,,,,unknown,
IT21013928,,Unknown,100000,,B,B,30.0,True,,,,unknown,
IT21013928,,Unknown,100001,,C,B,30.0,False,,,,unknown,
IT21013928,,Unknown,100002,,D,A,30.0,False,,,,unknown,
IT21013928,,Unknown,100002,,D,B,30.0,False,,,,unknown,
IT21013928,,Unknown,100001,,D,D,30.0,True,,,,unknown,
IT21013928,,Unknown,100000,,C,B,30.0,False,,,,unknown,
